
# Surface 0 of 1 surfaces

# Curve title: "g(x,y)"

# IsoCurve 0, 100 points
# x y z type
-10 -10  380 i
-9.79798 -10  373.172 i
-9.59596 -10  366.426 i
-9.39394 -10  359.761 i
-9.19192 -10  353.178 i
-8.9899 -10  346.677 i
-8.78788 -10  340.257 i
-8.58586 -10  333.919 i
-8.38384 -10  327.662 i
-8.18182 -10  321.488 i
-7.9798 -10  315.394 i
-7.77778 -10  309.383 i
-7.57576 -10  303.453 i
-7.37374 -10  297.604 i
-7.17172 -10  291.838 i
-6.9697 -10  286.152 i
-6.76768 -10  280.549 i
-6.56566 -10  275.027 i
-6.36364 -10  269.587 i
-6.16162 -10  264.228 i
-5.9596 -10  258.951 i
-5.75758 -10  253.756 i
-5.55556 -10  248.642 i
-5.35354 -10  243.61 i
-5.15152 -10  238.659 i
-4.94949 -10  233.79 i
-4.74747 -10  229.003 i
-4.54545 -10  224.298 i
-4.34343 -10  219.674 i
-4.14141 -10  215.131 i
-3.93939 -10  210.67 i
-3.73737 -10  206.291 i
-3.53535 -10  201.994 i
-3.33333 -10  197.778 i
-3.13131 -10  193.644 i
-2.92929 -10  189.591 i
-2.72727 -10  185.62 i
-2.52525 -10  181.73 i
-2.32323 -10  177.923 i
-2.12121 -10  174.197 i
-1.91919 -10  170.552 i
-1.71717 -10  166.989 i
-1.51515 -10  163.508 i
-1.31313 -10  160.108 i
-1.11111 -10  156.79 i
-0.909091 -10  153.554 i
-0.707071 -10  150.399 i
-0.505051 -10  147.326 i
-0.30303 -10  144.334 i
-0.10101 -10  141.424 i
 0.10101 -10  138.596 i
 0.30303 -10  135.849 i
 0.505051 -10  133.184 i
 0.707071 -10  130.601 i
 0.909091 -10  128.099 i
 1.11111 -10  125.679 i
 1.31313 -10  123.34 i
 1.51515 -10  121.084 i
 1.71717 -10  118.908 i
 1.91919 -10  116.815 i
 2.12121 -10  114.803 i
 2.32323 -10  112.872 i
 2.52525 -10  111.023 i
 2.72727 -10  109.256 i
 2.92929 -10  107.571 i
 3.13131 -10  105.967 i
 3.33333 -10  104.444 i
 3.53535 -10  103.004 i
 3.73737 -10  101.645 i
 3.93939 -10  100.367 i
 4.14141 -10  99.1715 i
 4.34343 -10  98.0573 i
 4.54545 -10  97.0248 i
 4.74747 -10  96.0739 i
 4.94949 -10  95.2046 i
 5.15152 -10  94.4169 i
 5.35354 -10  93.7108 i
 5.55556 -10  93.0864 i
 5.75758 -10  92.5436 i
 5.9596 -10  92.0824 i
 6.16162 -10  91.7029 i
 6.36364 -10  91.405 i
 6.56566 -10  91.1887 i
 6.76768 -10  91.054 i
 6.9697 -10  91.0009 i
 7.17172 -10  91.0295 i
 7.37374 -10  91.1397 i
 7.57576 -10  91.3315 i
 7.77778 -10  91.6049 i
 7.9798 -10  91.96 i
 8.18182 -10  92.3967 i
 8.38384 -10  92.915 i
 8.58586 -10  93.5149 i
 8.78788 -10  94.1965 i
 8.9899 -10  94.9597 i
 9.19192 -10  95.8045 i
 9.39394 -10  96.7309 i
 9.59596 -10  97.739 i
 9.79798 -10  98.8287 i
 10 -10  100 i

# IsoCurve 1, 100 points
# x y z type
-10 -9.91968  377.276 i
-9.79798 -9.91968  370.464 i
-9.59596 -9.91968  363.734 i
-9.39394 -9.91968  357.085 i
-9.19192 -9.91968  350.519 i
-8.9899 -9.91968  344.034 i
-8.78788 -9.91968  337.63 i
-8.58586 -9.91968  331.308 i
-8.38384 -9.91968  325.068 i
-8.18182 -9.91968  318.909 i
-7.9798 -9.91968  312.832 i
-7.77778 -9.91968  306.837 i
-7.57576 -9.91968  300.923 i
-7.37374 -9.91968  295.091 i
-7.17172 -9.91968  289.34 i
-6.9697 -9.91968  283.671 i
-6.76768 -9.91968  278.084 i
-6.56566 -9.91968  272.578 i
-6.36364 -9.91968  267.154 i
-6.16162 -9.91968  261.812 i
-5.9596 -9.91968  256.551 i
-5.75758 -9.91968  251.372 i
-5.55556 -9.91968  246.274 i
-5.35354 -9.91968  241.259 i
-5.15152 -9.91968  236.324 i
-4.94949 -9.91968  231.472 i
-4.74747 -9.91968  226.701 i
-4.54545 -9.91968  222.011 i
-4.34343 -9.91968  217.403 i
-4.14141 -9.91968  212.877 i
-3.93939 -9.91968  208.433 i
-3.73737 -9.91968  204.07 i
-3.53535 -9.91968  199.788 i
-3.33333 -9.91968  195.589 i
-3.13131 -9.91968  191.471 i
-2.92929 -9.91968  187.434 i
-2.72727 -9.91968  183.48 i
-2.52525 -9.91968  179.606 i
-2.32323 -9.91968  175.815 i
-2.12121 -9.91968  172.105 i
-1.91919 -9.91968  168.477 i
-1.71717 -9.91968  164.93 i
-1.51515 -9.91968  161.465 i
-1.31313 -9.91968  158.081 i
-1.11111 -9.91968  154.78 i
-0.909091 -9.91968  151.559 i
-0.707071 -9.91968  148.421 i
-0.505051 -9.91968  145.364 i
-0.30303 -9.91968  142.389 i
-0.10101 -9.91968  139.495 i
 0.10101 -9.91968  136.683 i
 0.30303 -9.91968  133.952 i
 0.505051 -9.91968  131.304 i
 0.707071 -9.91968  128.736 i
 0.909091 -9.91968  126.251 i
 1.11111 -9.91968  123.847 i
 1.31313 -9.91968  121.525 i
 1.51515 -9.91968  119.284 i
 1.71717 -9.91968  117.125 i
 1.91919 -9.91968  115.048 i
 2.12121 -9.91968  113.052 i
 2.32323 -9.91968  111.138 i
 2.52525 -9.91968  109.305 i
 2.72727 -9.91968  107.554 i
 2.92929 -9.91968  105.885 i
 3.13131 -9.91968  104.297 i
 3.33333 -9.91968  102.791 i
 3.53535 -9.91968  101.366 i
 3.73737 -9.91968  100.024 i
 3.93939 -9.91968  98.7625 i
 4.14141 -9.91968  97.5829 i
 4.34343 -9.91968  96.485 i
 4.54545 -9.91968  95.4686 i
 4.74747 -9.91968  94.5339 i
 4.94949 -9.91968  93.6809 i
 5.15152 -9.91968  92.9094 i
 5.35354 -9.91968  92.2196 i
 5.55556 -9.91968  91.6114 i
 5.75758 -9.91968  91.0848 i
 5.9596 -9.91968  90.6399 i
 6.16162 -9.91968  90.2765 i
 6.36364 -9.91968  89.9948 i
 6.56566 -9.91968  89.7948 i
 6.76768 -9.91968  89.6763 i
 6.9697 -9.91968  89.6395 i
 7.17172 -9.91968  89.6843 i
 7.37374 -9.91968  89.8107 i
 7.57576 -9.91968  90.0187 i
 7.77778 -9.91968  90.3084 i
 7.9798 -9.91968  90.6797 i
 8.18182 -9.91968  91.1326 i
 8.38384 -9.91968  91.6672 i
 8.58586 -9.91968  92.2833 i
 8.78788 -9.91968  92.9811 i
 8.9899 -9.91968  93.7605 i
 9.19192 -9.91968  94.6216 i
 9.39394 -9.91968  95.5642 i
 9.59596 -9.91968  96.5885 i
 9.79798 -9.91968  97.6944 i
 10 -9.91968  98.882 i

# IsoCurve 2, 100 points
# x y z type
-10 -9.83936  374.564 i
-9.79798 -9.83936  367.769 i
-9.59596 -9.83936  361.055 i
-9.39394 -9.83936  354.423 i
-9.19192 -9.83936  347.872 i
-8.9899 -9.83936  341.403 i
-8.78788 -9.83936  335.016 i
-8.58586 -9.83936  328.71 i
-8.38384 -9.83936  322.486 i
-8.18182 -9.83936  316.344 i
-7.9798 -9.83936  310.283 i
-7.77778 -9.83936  304.304 i
-7.57576 -9.83936  298.406 i
-7.37374 -9.83936  292.59 i
-7.17172 -9.83936  286.856 i
-6.9697 -9.83936  281.203 i
-6.76768 -9.83936  275.632 i
-6.56566 -9.83936  270.143 i
-6.36364 -9.83936  264.735 i
-6.16162 -9.83936  259.409 i
-5.9596 -9.83936  254.164 i
-5.75758 -9.83936  249.001 i
-5.55556 -9.83936  243.92 i
-5.35354 -9.83936  238.92 i
-5.15152 -9.83936  234.002 i
-4.94949 -9.83936  229.166 i
-4.74747 -9.83936  224.411 i
-4.54545 -9.83936  219.738 i
-4.34343 -9.83936  215.146 i
-4.14141 -9.83936  210.636 i
-3.93939 -9.83936  206.208 i
-3.73737 -9.83936  201.861 i
-3.53535 -9.83936  197.596 i
-3.33333 -9.83936  193.413 i
-3.13131 -9.83936  189.311 i
-2.92929 -9.83936  185.291 i
-2.72727 -9.83936  181.352 i
-2.52525 -9.83936  177.495 i
-2.32323 -9.83936  173.72 i
-2.12121 -9.83936  170.026 i
-1.91919 -9.83936  166.414 i
-1.71717 -9.83936  162.884 i
-1.51515 -9.83936  159.435 i
-1.31313 -9.83936  156.068 i
-1.11111 -9.83936  152.782 i
-0.909091 -9.83936  149.578 i
-0.707071 -9.83936  146.456 i
-0.505051 -9.83936  143.415 i
-0.30303 -9.83936  140.456 i
-0.10101 -9.83936  137.579 i
 0.10101 -9.83936  134.783 i
 0.30303 -9.83936  132.068 i
 0.505051 -9.83936  129.436 i
 0.707071 -9.83936  126.885 i
 0.909091 -9.83936  124.416 i
 1.11111 -9.83936  122.028 i
 1.31313 -9.83936  119.722 i
 1.51515 -9.83936  117.497 i
 1.71717 -9.83936  115.355 i
 1.91919 -9.83936  113.293 i
 2.12121 -9.83936  111.314 i
 2.32323 -9.83936  109.416 i
 2.52525 -9.83936  107.599 i
 2.72727 -9.83936  105.865 i
 2.92929 -9.83936  104.212 i
 3.13131 -9.83936  102.64 i
 3.33333 -9.83936  101.15 i
 3.53535 -9.83936  99.7421 i
 3.73737 -9.83936  98.4155 i
 3.93939 -9.83936  97.1705 i
 4.14141 -9.83936  96.0072 i
 4.34343 -9.83936  94.9255 i
 4.54545 -9.83936  93.9254 i
 4.74747 -9.83936  93.0069 i
 4.94949 -9.83936  92.1701 i
 5.15152 -9.83936  91.4148 i
 5.35354 -9.83936  90.7412 i
